hex,count_good_aircraft,count_bad_aircraft
84005a1ffffffff,1,0
84005e3ffffffff,1,0
8400cbdffffffff,1,0
8400cdbffffffff,1,0
8400ce7ffffffff,1,0
8400e89ffffffff,1,0
8400ea3ffffffff,1,0
8400eb5ffffffff,1,0
8400ebdffffffff,1,0
8400ecdffffffff,1,0
8401227ffffffff,3,0
840124bffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
840134bffffffff,1,0
840134dffffffff,1,0
8401351ffffffff,2,0
8401355ffffffff,1,0
8401359ffffffff,1,0
840135dffffffff,7,2
840142bffffffff,0,1
8402491ffffffff,8,0
8402499ffffffff,5,0
840249bffffffff,5,0
840249dffffffff,4,0
84024cbffffffff,1,0
84024d1ffffffff,10,0
84024d3ffffffff,8,0
84024d5ffffffff,3,0
84024d7ffffffff,10,0
84024d9ffffffff,13,0
84024dbffffffff,8,0
84024ddffffffff,5,0
8402691ffffffff,13,0
8402693ffffffff,1,0
8402695ffffffff,2,0
8402697ffffffff,11,0
8402699ffffffff,13,0
840269bffffffff,1,0
84026b1ffffffff,2,0
84026b3ffffffff,9,0
84026b7ffffffff,3,0
84026bbffffffff,6,0
8403223ffffffff,1,0
8403227ffffffff,1,0
840325dffffffff,1,0
8403267ffffffff,1,0
84032bdffffffff,1,0
84032c9ffffffff,0,1
84032d1ffffffff,0,1
840564dffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,7,0
8406289ffffffff,14,0
840628bffffffff,15,0
840628dffffffff,1,0
8406291ffffffff,11,0
8406293ffffffff,29,0
8406295ffffffff,4,0
8406297ffffffff,19,0
8406299ffffffff,11,0
840629bffffffff,27,0
840629dffffffff,8,0
84062b1ffffffff,1,0
84062b9ffffffff,4,0
84062c1ffffffff,3,0
84062c3ffffffff,15,0
84062c9ffffffff,1,0
84062cbffffffff,11,0
84062d1ffffffff,14,0
84062d3ffffffff,10,0
84062d5ffffffff,16,0
84062d7ffffffff,5,0
84062d9ffffffff,15,0
84062dbffffffff,6,0
84062ddffffffff,14,0
8406601ffffffff,7,0
8406603ffffffff,14,0
8406605ffffffff,9,0
8406607ffffffff,4,0
8406609ffffffff,11,0
840660bffffffff,27,0
840660dffffffff,33,0
8406621ffffffff,23,0
8406625ffffffff,3,0
8406627ffffffff,4,0
8406629ffffffff,37,0
840662bffffffff,4,0
840662dffffffff,5,0
8406639ffffffff,1,0
840663dffffffff,1,0
8406641ffffffff,38,0
8406643ffffffff,7,0
8406645ffffffff,13,0
8406647ffffffff,39,0
8406649ffffffff,36,0
840664bffffffff,8,0
840664dffffffff,9,0
8406651ffffffff,24,0
8406655ffffffff,30,0
8406657ffffffff,14,0
8406659ffffffff,32,0
840665dffffffff,7,0
8406661ffffffff,8,0
8406663ffffffff,46,0
8406665ffffffff,38,0
8406667ffffffff,6,0
8406669ffffffff,13,0
840666bffffffff,47,0
840666dffffffff,41,0
8406703ffffffff,6,0
8406709ffffffff,1,0
8406719ffffffff,1,0
840671dffffffff,40,0
8406741ffffffff,13,0
8406743ffffffff,6,0
8406745ffffffff,7,0
8406747ffffffff,2,0
8406749ffffffff,19,0
840674bffffffff,10,0
840674dffffffff,16,0
8406751ffffffff,33,0
8406753ffffffff,1,0
8406757ffffffff,48,0
8406759ffffffff,45,0
840675bffffffff,4,0
840675dffffffff,5,0
8406769ffffffff,8,0
840676bffffffff,4,0
840676dffffffff,2,0
8406983ffffffff,1,0
8406987ffffffff,2,0
8406995ffffffff,1,0
8406997ffffffff,6,0
84069a1ffffffff,2,0
84069a3ffffffff,5,0
84069a5ffffffff,13,0
84069a7ffffffff,1,0
84069a9ffffffff,1,0
84069adffffffff,7,0
84069b1ffffffff,1,0
84069b3ffffffff,11,0
84069b7ffffffff,11,0
84069bbffffffff,11,0
84069bdffffffff,3,0
8406c03ffffffff,21,0
8406c05ffffffff,20,0
8406c0bffffffff,1,0
8406c11ffffffff,1,0
8406c13ffffffff,1,0
8406c15ffffffff,3,0
8406c17ffffffff,12,0
8406c19ffffffff,1,0
