hex,count_good_aircraft,count_bad_aircraft
8400c89ffffffff,1,0
8400c8bffffffff,1,0
8400c8dffffffff,0,1
8400cbbffffffff,0,1
8400ee7ffffffff,0,1
8401059ffffffff,3,0
8401201ffffffff,3,0
8401205ffffffff,2,0
8401207ffffffff,4,0
840120dffffffff,4,0
840121bffffffff,1,0
8401225ffffffff,3,0
8401227ffffffff,3,0
8401229ffffffff,3,0
840122bffffffff,1,0
840122dffffffff,4,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,3,0
8401241ffffffff,6,0
8401243ffffffff,3,0
8401245ffffffff,6,0
8401247ffffffff,10,0
840124bffffffff,4,0
840124dffffffff,3,0
8401259ffffffff,6,0
840125bffffffff,1,0
840125dffffffff,2,0
8401261ffffffff,7,0
8401263ffffffff,1,0
8401265ffffffff,5,1
8401267ffffffff,7,0
8401269ffffffff,3,0
840126bffffffff,8,0
840126dffffffff,2,1
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,3,0
84012cbffffffff,2,0
84012cdffffffff,1,0
840130bffffffff,2,0
8401319ffffffff,3,0
840131dffffffff,1,0
8401343ffffffff,2,1
840134bffffffff,1,0
8401351ffffffff,5,1
8401353ffffffff,3,0
8401355ffffffff,3,2
8401357ffffffff,3,0
8401359ffffffff,5,0
840135bffffffff,5,1
840135dffffffff,12,5
8402493ffffffff,1,0
8402499ffffffff,1,0
840249dffffffff,3,0
84024d1ffffffff,1,0
84024d3ffffffff,2,0
84024d5ffffffff,3,0
84024d7ffffffff,3,0
84024d9ffffffff,4,0
84024ddffffffff,3,0
8402683ffffffff,1,0
8402691ffffffff,4,0
8402695ffffffff,1,0
8402697ffffffff,5,0
8402699ffffffff,4,0
84026b3ffffffff,4,0
84026bbffffffff,3,0
840330bffffffff,1,1
8403369ffffffff,1,0
8405651ffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,6,0
8406289ffffffff,11,0
840628bffffffff,8,0
840628dffffffff,1,0
8406291ffffffff,7,0
8406293ffffffff,10,0
8406295ffffffff,4,0
8406297ffffffff,6,0
8406299ffffffff,5,0
840629bffffffff,12,0
840629dffffffff,7,0
84062bbffffffff,1,0
84062c1ffffffff,1,0
84062c3ffffffff,7,0
84062c9ffffffff,1,0
84062cbffffffff,5,0
84062d1ffffffff,10,0
84062d3ffffffff,8,0
84062d5ffffffff,13,0
84062d7ffffffff,8,0
84062d9ffffffff,14,0
84062dbffffffff,9,0
84062ddffffffff,10,0
8406601ffffffff,5,0
8406603ffffffff,5,0
8406605ffffffff,1,0
8406607ffffffff,2,0
8406609ffffffff,6,0
840660bffffffff,10,0
840660dffffffff,2,0
8406621ffffffff,4,0
8406625ffffffff,1,0
8406629ffffffff,7,0
840662bffffffff,1,0
840662dffffffff,2,0
8406639ffffffff,1,0
8406641ffffffff,3,0
8406643ffffffff,4,0
8406645ffffffff,4,0
8406647ffffffff,2,0
8406649ffffffff,5,0
840664bffffffff,4,0
840664dffffffff,10,0
8406651ffffffff,9,0
8406655ffffffff,12,0
8406657ffffffff,3,0
8406659ffffffff,13,0
840665dffffffff,4,0
8406661ffffffff,6,0
8406663ffffffff,5,0
8406665ffffffff,8,0
8406667ffffffff,3,0
8406669ffffffff,7,0
840666bffffffff,7,0
840666dffffffff,12,0
8406703ffffffff,3,0
8406719ffffffff,1,0
840671dffffffff,11,0
8406741ffffffff,3,0
8406743ffffffff,4,0
8406745ffffffff,4,0
8406747ffffffff,1,0
8406749ffffffff,4,0
840674bffffffff,3,0
840674dffffffff,6,0
8406751ffffffff,8,0
8406753ffffffff,2,0
8406757ffffffff,11,0
8406759ffffffff,10,0
840675bffffffff,6,0
840675dffffffff,3,0
8406769ffffffff,4,0
8406983ffffffff,1,0
8406987ffffffff,1,0
8406991ffffffff,1,0
8406997ffffffff,1,0
84069a3ffffffff,1,0
84069a5ffffffff,4,0
84069a9ffffffff,1,0
84069adffffffff,2,0
84069b1ffffffff,1,0
84069b3ffffffff,3,0
84069b7ffffffff,4,0
84069b9ffffffff,1,0
84069bbffffffff,3,0
