hex,count_good_aircraft,count_bad_aircraft
84004a7ffffffff,0,1
8401059ffffffff,3,0
840105bffffffff,1,0
8401201ffffffff,3,0
8401205ffffffff,2,0
8401207ffffffff,4,0
8401209ffffffff,1,0
840120dffffffff,7,0
8401217ffffffff,1,0
8401225ffffffff,4,0
8401227ffffffff,3,0
8401229ffffffff,3,0
840122dffffffff,5,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,4,0
840123bffffffff,1,0
8401241ffffffff,2,0
8401243ffffffff,4,0
8401245ffffffff,4,0
8401247ffffffff,9,0
840124bffffffff,2,0
840124dffffffff,3,1
8401251ffffffff,1,0
8401259ffffffff,6,0
8401261ffffffff,5,0
8401263ffffffff,4,0
8401265ffffffff,3,3
8401267ffffffff,6,2
8401269ffffffff,1,0
840126bffffffff,6,0
840126dffffffff,1,0
84012c1ffffffff,1,0
84012c3ffffffff,3,0
84012c5ffffffff,1,0
84012c7ffffffff,1,0
84012c9ffffffff,2,0
84012cbffffffff,2,0
840130bffffffff,1,1
8401319ffffffff,2,0
8401341ffffffff,0,1
840134bffffffff,1,0
840134dffffffff,1,0
8401351ffffffff,7,3
8401353ffffffff,5,0
8401355ffffffff,3,1
8401357ffffffff,3,0
8401359ffffffff,5,3
840135bffffffff,5,3
840135dffffffff,10,2
8402491ffffffff,2,0
8402493ffffffff,2,0
8402499ffffffff,3,0
840249bffffffff,3,0
840249dffffffff,1,0
84024cbffffffff,1,0
84024d1ffffffff,3,0
84024d3ffffffff,2,0
84024d7ffffffff,2,0
84024d9ffffffff,1,0
84024dbffffffff,4,0
84024ddffffffff,1,0
8402683ffffffff,1,0
8402691ffffffff,5,0
8402693ffffffff,1,0
8402695ffffffff,3,0
8402697ffffffff,4,0
8402699ffffffff,5,0
84026b1ffffffff,2,0
84026b3ffffffff,2,0
84026b7ffffffff,3,0
84026bbffffffff,3,0
8403225ffffffff,1,0
8403263ffffffff,1,0
84032cdffffffff,1,0
8406283ffffffff,3,0
8406289ffffffff,1,0
840628bffffffff,1,0
840628dffffffff,1,0
8406291ffffffff,6,0
8406293ffffffff,4,0
8406295ffffffff,4,0
8406297ffffffff,2,0
8406299ffffffff,9,0
840629bffffffff,1,0
840629dffffffff,4,0
84062bbffffffff,2,0
84062c1ffffffff,1,0
84062c3ffffffff,2,0
