hex,count_good_aircraft,count_bad_aircraft
84004a5ffffffff,1,0
840059bffffffff,1,0
8401059ffffffff,2,0
840105bffffffff,1,0
8401201ffffffff,3,0
8401205ffffffff,4,0
8401207ffffffff,3,0
8401209ffffffff,1,0
840120dffffffff,6,0
8401221ffffffff,1,0
8401225ffffffff,5,0
8401227ffffffff,2,0
8401229ffffffff,3,0
840122dffffffff,3,0
8401231ffffffff,2,0
8401233ffffffff,2,0
8401239ffffffff,2,0
8401241ffffffff,2,0
8401243ffffffff,1,0
8401245ffffffff,4,0
8401247ffffffff,7,1
840124bffffffff,1,0
840124dffffffff,2,0
8401255ffffffff,1,0
8401259ffffffff,5,0
8401261ffffffff,6,0
8401263ffffffff,4,0
8401265ffffffff,6,0
8401267ffffffff,3,0
8401269ffffffff,2,0
840126bffffffff,6,0
840126dffffffff,2,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
8401309ffffffff,1,0
840130bffffffff,2,0
8401319ffffffff,2,0
840131dffffffff,1,0
8401351ffffffff,5,0
8401353ffffffff,4,0
8401355ffffffff,3,2
8401357ffffffff,3,0
8401359ffffffff,6,3
840135bffffffff,3,2
840135dffffffff,9,3
8402491ffffffff,5,0
8402493ffffffff,2,0
8402495ffffffff,1,0
8402499ffffffff,3,0
840249bffffffff,6,0
840249dffffffff,3,0
84024cbffffffff,1,0
84024d1ffffffff,1,0
84024d3ffffffff,5,0
84024d5ffffffff,2,0
84024d7ffffffff,6,0
84024d9ffffffff,5,0
84024dbffffffff,6,0
84024ddffffffff,8,0
8402683ffffffff,2,0
8402691ffffffff,9,0
8402695ffffffff,3,0
8402697ffffffff,8,0
8402699ffffffff,9,0
840269dffffffff,2,0
84026b1ffffffff,3,0
84026b3ffffffff,8,0
84026b5ffffffff,1,0
84026b7ffffffff,6,0
84026b9ffffffff,2,0
84026bbffffffff,8,0
84026d7ffffffff,2,0
8403255ffffffff,1,0
8406281ffffffff,8,0
8406283ffffffff,8,0
8406287ffffffff,1,0
8406289ffffffff,15,0
840628bffffffff,6,0
840628dffffffff,2,0
8406291ffffffff,7,0
8406293ffffffff,12,0
8406295ffffffff,4,0
8406297ffffffff,8,0
8406299ffffffff,6,0
840629bffffffff,6,0
840629dffffffff,9,0
84062b9ffffffff,8,0
84062bbffffffff,2,0
84062bdffffffff,1,0
84062c1ffffffff,9,0
84062c3ffffffff,19,0
84062c7ffffffff,2,0
84062c9ffffffff,4,0
84062cbffffffff,14,0
84062d1ffffffff,3,0
84062d3ffffffff,12,0
84062d5ffffffff,9,0
84062d7ffffffff,7,0
84062d9ffffffff,9,0
84062dbffffffff,11,0
84062ddffffffff,14,0
8406601ffffffff,3,0
8406603ffffffff,1,0
8406607ffffffff,2,0
8406609ffffffff,2,0
840660bffffffff,1,0
840660dffffffff,1,0
840661dffffffff,2,0
8406621ffffffff,4,0
8406625ffffffff,2,0
8406627ffffffff,1,0
8406629ffffffff,4,0
840662bffffffff,1,0
840662dffffffff,7,0
840663dffffffff,1,0
8406641ffffffff,1,0
8406643ffffffff,1,0
8406645ffffffff,4,0
8406647ffffffff,1,0
8406649ffffffff,2,0
840664bffffffff,1,0
840664dffffffff,6,0
8406651ffffffff,4,0
8406655ffffffff,2,0
