hex,count_good_aircraft,count_bad_aircraft
8406dbdffffffff,2,0
8406dc1ffffffff,13,0
8406dc3ffffffff,4,0
8406dc5ffffffff,15,0
8406dc7ffffffff,12,0
8406dc9ffffffff,16,0
8406dcbffffffff,14,0
8406dcdffffffff,16,0
8406dd1ffffffff,14,0
8406dd3ffffffff,11,0
8406dd5ffffffff,10,0
8406dd7ffffffff,13,0
8406dd9ffffffff,12,0
8406ddbffffffff,19,0
8406dddffffffff,22,0
8406de1ffffffff,5,0
8406de3ffffffff,9,0
8406de5ffffffff,7,0
8406de7ffffffff,5,0
8406de9ffffffff,7,0
8406debffffffff,14,0
8406dedffffffff,6,0
8407401ffffffff,22,0
8407403ffffffff,11,0
8407405ffffffff,22,0
8407407ffffffff,12,0
8407409ffffffff,18,0
840740bffffffff,16,0
840740dffffffff,24,0
8407411ffffffff,41,0
8407413ffffffff,39,0
8407415ffffffff,48,0
8407417ffffffff,43,0
8407419ffffffff,28,0
840741bffffffff,33,0
840741dffffffff,38,0
8407421ffffffff,5,0
8407423ffffffff,28,0
8407425ffffffff,6,0
8407427ffffffff,14,0
8407429ffffffff,9,0
840742bffffffff,29,0
840742dffffffff,7,0
8407431ffffffff,31,0
8407433ffffffff,56,0
8407435ffffffff,9,0
8407437ffffffff,28,0
8407439ffffffff,14,0
840743bffffffff,50,0
840743dffffffff,9,0
8407441ffffffff,6,0
8407443ffffffff,20,0
8407445ffffffff,2,0
8407447ffffffff,10,0
8407449ffffffff,4,0
840744bffffffff,17,0
8407451ffffffff,30,0
8407453ffffffff,22,0
8407455ffffffff,15,0
8407457ffffffff,38,0
840745bffffffff,16,0
840745dffffffff,12,0
8407461ffffffff,5,0
8407463ffffffff,7,0
8407467ffffffff,6,0
8407469ffffffff,5,0
840746bffffffff,7,0
8407481ffffffff,23,0
8407483ffffffff,12,0
8407485ffffffff,13,0
8407487ffffffff,18,0
8407489ffffffff,24,0
840748bffffffff,7,0
840748dffffffff,8,0
8407495ffffffff,1,0
84074a1ffffffff,16,0
84074a3ffffffff,18,0
84074a5ffffffff,20,0
84074a7ffffffff,17,0
84074a9ffffffff,16,0
84074abffffffff,20,0
84074adffffffff,18,0
84074b1ffffffff,11,0
84074b3ffffffff,7,0
84074b5ffffffff,8,0
84074b7ffffffff,13,0
84074b9ffffffff,14,0
84074bbffffffff,7,0
84074bdffffffff,16,0
84074c1ffffffff,18,0
84074c3ffffffff,24,0
84074c5ffffffff,33,0
84074c7ffffffff,14,0
84074c9ffffffff,12,0
84074cbffffffff,13,0
84074cdffffffff,30,0
84074d5ffffffff,5,0
84074ddffffffff,2,0
84074e1ffffffff,34,0
84074e3ffffffff,21,0
84074e5ffffffff,50,0
84074e7ffffffff,32,0
84074e9ffffffff,37,0
84074ebffffffff,30,0
84074edffffffff,47,0
8407503ffffffff,2,0
8407511ffffffff,10,0
8407513ffffffff,10,0
8407515ffffffff,10,0
8407517ffffffff,9,0
8407519ffffffff,10,0
840751bffffffff,7,0
840751dffffffff,4,0
8407531ffffffff,6,0
8407533ffffffff,7,0
8407535ffffffff,5,0
8407537ffffffff,4,0
8407539ffffffff,4,0
840753bffffffff,10,0
8407581ffffffff,11,0
8407583ffffffff,19,0
8407585ffffffff,15,0
8407587ffffffff,12,0
8407589ffffffff,6,0
840758bffffffff,20,0
840758dffffffff,19,0
8407591ffffffff,27,0
8407593ffffffff,15,0
8407595ffffffff,38,0
8407597ffffffff,30,0
8407599ffffffff,20,0
840759bffffffff,14,0
840759dffffffff,44,0
84075a1ffffffff,12,0
84075a3ffffffff,11,0
84075a5ffffffff,16,0
84075a7ffffffff,10,0
84075a9ffffffff,21,0
84075abffffffff,12,0
84075adffffffff,17,0
84075b1ffffffff,16,0
84075b3ffffffff,35,0
84075b5ffffffff,9,0
84075b7ffffffff,10,0
84075b9ffffffff,13,0
84075bbffffffff,33,0
84075bdffffffff,11,0
84075c1ffffffff,11,0
84075c3ffffffff,14,0
84075c5ffffffff,19,0
84075c7ffffffff,18,0
84075c9ffffffff,20,0
84075cbffffffff,12,0
84075cdffffffff,19,0
84075d1ffffffff,86,0
84075d3ffffffff,23,0
84075d5ffffffff,21,0
84075d7ffffffff,58,0
84075d9ffffffff,70,0
84075dbffffffff,43,0
84075ddffffffff,39,0
84075e1ffffffff,11,0
84075e3ffffffff,19,0
84075e5ffffffff,11,0
84075e7ffffffff,17,0
84075e9ffffffff,14,0
84075ebffffffff,16,0
84075edffffffff,8,0
8407631ffffffff,1,0
8407635ffffffff,4,0
8407637ffffffff,18,0
840764dffffffff,1,0
84076a1ffffffff,16,0
84076a3ffffffff,1,0
84076a5ffffffff,37,0
84076a7ffffffff,26,0
84076a9ffffffff,25,0
84076adffffffff,31,0
84076b5ffffffff,1,0
84076e1ffffffff,3,0
84076e3ffffffff,15,0
84076e5ffffffff,1,0
84076e7ffffffff,17,0
8408001ffffffff,2,0
8408005ffffffff,4,0
8408007ffffffff,5,0
8408009ffffffff,2,0
840800bffffffff,4,0
840800dffffffff,4,0
8408021ffffffff,23,0
8408023ffffffff,33,0
8408025ffffffff,51,0
8408027ffffffff,43,0
8408029ffffffff,12,0
840802bffffffff,21,0
840802dffffffff,23,0
8408031ffffffff,25,0
8408033ffffffff,25,0
8408035ffffffff,51,0
8408037ffffffff,50,0
8408039ffffffff,12,0
840803bffffffff,7,0
840803dffffffff,22,0
8408041ffffffff,1,0
8408043ffffffff,1,0
8408045ffffffff,1,0
8408047ffffffff,1,0
8408051ffffffff,2,0
8408053ffffffff,3,0
8408055ffffffff,1,0
8408057ffffffff,4,0
8408059ffffffff,1,0
840805bffffffff,2,0
840805dffffffff,1,0
8408061ffffffff,2,0
8408063ffffffff,3,0
8408065ffffffff,5,0
8408067ffffffff,2,0
8408069ffffffff,2,0
840806bffffffff,2,0
840806dffffffff,5,0
8408101ffffffff,39,0
8408103ffffffff,4,0
8408105ffffffff,14,0
8408107ffffffff,5,0
8408109ffffffff,49,0
840810bffffffff,56,0
840810dffffffff,56,0
8408111ffffffff,2,0
8408113ffffffff,4,0
8408115ffffffff,4,0
8408117ffffffff,3,0
8408119ffffffff,42,0
840811bffffffff,1,0
840811dffffffff,3,0
8408121ffffffff,4,0
8408123ffffffff,6,0
8408125ffffffff,4,0
8408127ffffffff,5,0
8408129ffffffff,2,0
840812bffffffff,6,0
840812dffffffff,4,0
8408131ffffffff,9,0
8408133ffffffff,9,0
8408135ffffffff,8,0
8408137ffffffff,10,0
8408139ffffffff,6,0
840813bffffffff,9,0
840813dffffffff,8,0
8408141ffffffff,11,0
8408143ffffffff,16,0
8408145ffffffff,9,0
8408147ffffffff,19,0
8408149ffffffff,13,0
840814bffffffff,15,0
840814dffffffff,8,0
8408151ffffffff,51,0
8408153ffffffff,37,0
8408155ffffffff,33,0
8408157ffffffff,66,0
8408159ffffffff,17,0
840815bffffffff,24,0
840815dffffffff,17,0
8408161ffffffff,49,0
8408163ffffffff,51,0
8408165ffffffff,51,0
8408167ffffffff,43,0
8408169ffffffff,12,0
840816bffffffff,34,0
840816dffffffff,20,0
8408181ffffffff,3,0
8408183ffffffff,1,0
8408185ffffffff,3,0
8408187ffffffff,1,0
8408189ffffffff,5,0
840818bffffffff,3,0
840818dffffffff,3,0
8408193ffffffff,1,0
8408197ffffffff,1,0
8408199ffffffff,3,0
840819bffffffff,2,0
84081a1ffffffff,5,0
84081a3ffffffff,5,0
84081a5ffffffff,4,0
84081a7ffffffff,3,0
84081a9ffffffff,3,0
84081abffffffff,3,0
84081adffffffff,5,0
84081b3ffffffff,3,0
84081b5ffffffff,5,0
84081b7ffffffff,7,0
84081b9ffffffff,1,0
84081bbffffffff,1,0
84081bdffffffff,1,0
84081c1ffffffff,2,0
84081c3ffffffff,4,0
84081c5ffffffff,2,0
84081c7ffffffff,5,0
84081c9ffffffff,38,0
84081cbffffffff,33,0
84081cdffffffff,2,0
84081d1ffffffff,10,0
84081d3ffffffff,6,0
84081d5ffffffff,5,0
84081d7ffffffff,5,0
84081d9ffffffff,47,0
84081dbffffffff,49,0
84081ddffffffff,30,0
84081e1ffffffff,1,0
84081e3ffffffff,2,0
84081e5ffffffff,4,0
84081e7ffffffff,3,0
84081e9ffffffff,2,0
84081ebffffffff,3,0
84081edffffffff,6,0
8408211ffffffff,1,0
8408213ffffffff,1,0
8408217ffffffff,1,0
8408259ffffffff,1,0
840825bffffffff,1,0
8408269ffffffff,1,0
840826dffffffff,2,0
8408281ffffffff,2,0
8408283ffffffff,22,0
8408285ffffffff,2,0
8408287ffffffff,17,0
840828bffffffff,1,0
840828dffffffff,1,0
8408291ffffffff,40,0
8408293ffffffff,42,0
8408295ffffffff,39,0
8408297ffffffff,46,0
